PLOT	ELEVATION	SLOPE	ASPSSW	HEAT.LOAD	SURFSL	SURFIS	LITHIC	SKELETIC	CAMBISOL	FLUVISOL	SOILDPT	pH	COVERE3	COVERE2	COVERE1	COVERE0	COVERE32	GROUP	SPEC.NO	TBV.NO	TRANSECT	LIGHT	TEMP	CONT	MOIST	REACT	NUTR
27	495	32	87.5	0.522	0	-1	0	1	1	0	24.50	3.79	70	30	80	30	79	3	20	555629	10	5.16	5.17	3.8	5.4	5	5.71
28	475	30	67.5	0.428	-1	0	0	1	1	0	15.50	3.58	30	40	50	50	58	3	18	555630	10	4.94	4.83	3.88	5.33	4.5	5.93
29	455	45	77.5	0.376	0	0	0	0	1	0	35.50	3.86	50	30	50	20	65	3	25	555631	10	4.71	5	3.95	5.67	5.46	6.1
30	440	20	77.5	0.544	-1	0	0	1	0	1	30.00	4.13	70	40	80	20	82	2	44	555632	10	5.51	5.34	3.95	6.54	6.38	6.59
31	450	25	127.5	0.79	-1	0	0	1	0	1	22.50	6.41	85	50	70	5	92.5	2	52	555450	11	5.33	5.38	3.64	6	6.63	6.26
32	475	45	117.5	0.688	0	1	0	0	1	0	27.17	6.76	80	10	60	5	82	3	31	555451	11	5.03	5.28	3.72	4.74	6.81	5.16
33	500	50	127.5	0.759	1	0	1	0	1	0	12.50	6.14	70	20	60	10	76	3	41	555452	11	5.74	5.39	3.83	4.44	6.28	4.41
34	485	45	97.5	0.515	1	0	1	0	1	0	36.67	4.14	85	40	30	15	91	3	24	555453	12	5.38	5.35	3.89	4.94	6.64	5.9
35	470	35	107.5	0.646	0	-1	0	1	0	0	20.17	4.08	60	5	60	10	62	3	17	555454	12	4.94	5.5	3.88	4.87	6.3	5.64
36	455	35	107.5	0.646	0	1	0	1	1	0	20.67	5.15	75	25	50	10	81.25	3	28	555455	12	4.5	5.25	3.88	5.25	6.85	6.19
37	450	25	102.5	0.884	-1	0	0	0	1	1	27.50	4.46	50	70	30	5	85	2	41	555633	13	5.74	5.48	3.93	5.9	5.33	5.16
38	475	55	112.5	0.975	1	1	1	0	0	0	9.00	3.80	45	10	35	40	50.5	1	11	555634	13	6	4.67	4	4.4	2.4	2.83
39	495	47	152.5	0.961	1	1	1	0	1	0	16.33	3.61	40	5	25	10	43	1	9	555635	13	6	5.5	3.63	4.67	2	3.33
40	505	17	112.5	0.843	0	1	0	0	1	0	32.33	3.76	70	5	70	5	71.5	1	20	555636	13	5.74	5.38	3.94	5.25	3.73	4.57
41	505	30	122.5	0.973	0	0	0	0	1	0	24.83	3.83	70	5	30	5	71.5	1	18	555637	14	5	5.11	3.83	4.93	4.56	5.14
42	485	30	107.5	0.934	0	-1	0	1	1	0	19.83	4.32	60	10	50	40	64	1	21	555638	14	5.43	5.36	3.58	4.43	4.36	3.71
43	470	50	112.5	0.992	0	-1	1	0	1	0	24.67	4.26	75	10	70	35	77.5	1	39	555639	14	5.24	5.26	3.94	4.82	5.16	4.6
44	455	25	122.5	0.933	-1	-1	0	0	1	1	33.33	4.72	90	60	40	5	96	2	50	555640	14	5.43	5.42	3.7	6.31	6.36	6.37
45	510	28	112.5	0.938	0	1	0	0	1	0	19.50	4.00	75	10	30	20	77.5	1	23	555641	15	6.09	5.55	3.73	4.21	4.88	3.1
46	500	35	102.5	0.932	1	1	1	0	1	0	21.00	3.55	50	5	10	20	52.5	1	12	555642	15	5.92	5.67	3.91	4.11	4.13	2.44
47	480	60	112.5	0.947	1	0	1	0	1	0	12.33	3.82	60	20	50	50	68	1	30	555643	15	6	5.47	3.7	4.15	4.75	3.46
48	455	45	122.5	1.03	0	0	0	0	1	0	15.67	4.34	60	30	30	20	72	3	28	555644	15	5.6	5.43	4.04	4.48	5.83	4.44
49	440	2	92.5	0.672	0	0	0	0	0	1	63.17	5.07	40	40	100	5	64	2	34	555645	16	5.77	5.33	3.89	7	6.68	6.97
50	445	15	102.5	0.805	-1	-1	0	1	1	0	17.17	4.39	80	15	70	15	83	3	20	555646	16	4.6	5.31	3.85	5.39	6.08	5.74
51	460	30	102.5	0.912	0	-1	0	1	1	0	26.33	4.99	70	5	30	2	71.5	3	27	555647	16	4.32	5.23	3.72	5.14	6	5.17
52	475	40	102.5	0.941	0	-1	0	0	1	0	29.33	4.75	65	10	40	20	68.5	3	42	555648	16	5.08	5.26	3.81	4.94	5.86	5.08
53	490	35	92.5	0.871	0	-1	0	1	1	0	31.50	4.78	25	60	30	15	70	3	37	555649	16	4.74	5.24	3.78	5.13	5.9	5.79
54	510	35	92.5	0.871	0	-1	0	0	1	0	21.67	4.36	30	65	30	20	75.5	3	33	555650	16	4.58	5.29	3.67	5.07	5.95	5.6
55	430	0	17.5	0.653	-1	0	0	0	0	1	64.83	4.78	80	60	10	5	92	2	39	555651	17	5.33	5.29	3.58	6.71	6.29	6.56
56	450	20	2.5	0.37	-1	0	0	1	1	0	26.83	4.26	85	7	70	5	86.05	4	20	555652	17	3.7	4.91	3.63	5.5	5.91	5.94
