"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"43"	0	0	9	10	16	24	22	6	3	1	2	2	10	10	12	21	30	5	3	5	1	0	17	9	20	16	21	14	2	1	0	2	6	18	20	24	18	12	6	2	0	1	5	27	31	17	12	6	1	0
"44"	5	8	12	17	20	27	16	9	4	0	0	2	7	17	20	18	22	3	2	0	1	4	10	14	24	13	14	11	1	0	2	6	13	19	17	17	13	10	6	0	1	5	5	21	14	17	18	7	3	0
"45"	0	4	16	10	21	18	20	4	3	2	5	5	12	16	19	15	9	5	1	0	9	3	9	11	17	10	8	3	1	0	5	3	12	13	30	28	17	9	3	0	0	7	6	23	20	8	8	4	4	3
"46"	1	7	11	15	16	11	16	8	4	0	3	9	19	27	14	10	8	2	6	1	3	8	14	12	15	11	15	2	1	0	3	4	21	14	19	15	17	6	3	1	2	9	9	9	22	14	15	3	3	2
"47"	10	8	13	23	9	16	6	4	2	0	5	10	17	24	9	14	8	8	1	1	9	10	16	26	20	15	4	0	2	0	5	9	9	29	21	17	5	6	0	0	1	22	20	17	10	18	13	6	2	0
"48"	1	9	11	11	8	9	5	2	4	0	2	12	16	20	8	6	0	3	1	1	1	3	9	10	7	7	6	2	0	0	2	7	6	9	10	7	2	4	2	1	4	5	16	12	9	6	3	0	2	2
"49"	0	0	1	2	10	12	23	27	8	5	0	0	0	0	2	7	47	28	9	2	0	0	0	3	7	5	18	17	16	4	0	2	0	2	8	14	22	12	12	3	2	0	1	1	6	22	24	35	8	3
"50"	0	0	0	4	11	20	27	15	24	2	0	0	0	9	12	15	29	27	14	0	0	0	0	6	7	16	23	28	14	1	0	0	3	2	12	21	21	28	11	4	1	2	3	5	6	13	26	16	13	5
"51"	0	0	3	5	7	13	21	20	1	4	0	0	6	4	9	23	31	31	17	1	0	0	0	7	7	19	23	13	19	0	0	1	3	3	10	14	21	18	10	1	0	1	2	5	12	23	38	41	9	2
"52"	1	1	3	3	3	19	32	11	10	6	0	0	0	10	12	10	25	19	17	1	0	1	0	5	4	19	33	12	16	4	0	1	3	3	8	15	26	19	13	0	0	0	3	4	11	22	26	25	9	4
"53"	2	3	8	8	13	27	24	17	4	4	1	0	2	8	10	6	27	15	6	1	0	2	6	6	6	19	22	12	15	1	1	3	3	3	7	18	24	16	9	5	0	0	5	6	21	30	24	23	5	2
"54"	0	3	2	9	25	17	20	10	6	3	0	2	3	12	15	13	16	15	7	0	0	1	3	11	17	23	20	13	4	0	0	1	2	13	22	17	21	18	4	2	0	1	3	16	21	28	20	15	3	1
"55"	6	1	9	14	15	15	21	10	2	0	1	1	7	21	7	13	26	10	9	0	0	1	7	11	9	14	14	14	2	3	0	3	5	12	15	22	20	8	4	0	0	2	5	17	20	21	17	3	2	0
"56"	2	6	12	12	18	27	10	5	2	2	0	2	17	15	14	18	15	4	3	0	0	5	6	6	18	21	9	11	2	4	1	1	13	27	25	18	10	9	3	0	1	8	9	20	12	19	15	9	6	0
"57"	1	9	12	7	12	16	16	8	9	0	1	4	11	6	22	15	22	8	1	2	4	5	5	8	25	24	13	3	6	1	0	5	8	14	22	21	11	18	7	4	0	2	15	6	11	31	21	4	7	3
"58"	1	5	6	9	21	18	12	9	9	1	1	4	13	19	16	16	15	11	5	1	0	2	16	8	22	17	15	12	8	1	0	4	13	20	23	20	11	10	8	1	0	10	10	10	17	13	26	4	2	1
"59"	6	6	8	13	22	21	14	7	4	0	0	4	18	18	9	7	14	6	2	4	4	2	12	18	24	16	6	3	4	2	4	4	13	16	27	16	11	8	3	1	2	10	19	19	19	12	13	9	2	1
"60"	4	3	8	10	12	7	12	4	10	0	1	2	6	9	9	5	4	7	0	2	1	4	16	18	9	9	5	2	1	1	4	4	9	10	15	13	8	4	0	1	2	6	11	13	17	5	13	8	1	3
"61"	0	0	0	2	9	24	26	18	8	7	3	0	0	1	11	7	28	15	9	0	0	1	1	6	7	16	18	27	20	3	0	0	2	3	3	13	10	20	11	3	0	2	3	5	6	20	18	24	11	2
"62"	1	0	5	7	12	19	26	23	7	2	0	0	2	6	6	17	27	16	20	0	0	0	0	5	9	33	16	20	8	1	0	0	1	5	6	16	23	24	11	1	0	2	5	2	12	28	19	29	7	5
"63"	0	0	3	3	13	25	41	18	7	7	0	4	2	14	6	23	30	19	9	1	0	0	7	13	12	17	16	21	4	0	0	2	3	4	13	30	20	14	6	2	0	2	2	5	11	22	18	22	5	4
"64"	0	2	8	6	7	18	25	12	9	6	0	1	7	12	11	23	34	11	9	6	0	1	0	9	9	28	10	8	4	3	1	0	1	10	18	16	27	14	8	3	0	4	3	4	16	23	36	18	14	5
"65"	1	1	9	5	13	18	23	4	6	3	0	2	3	19	12	17	30	20	8	1	0	2	1	10	17	28	20	12	2	1	2	3	5	14	12	30	27	24	1	3	0	0	4	6	7	23	23	20	7	1
"66"	2	2	7	7	16	13	24	4	9	2	2	2	4	12	21	17	12	10	3	2	0	0	4	12	15	23	14	11	2	0	0	1	6	13	33	24	25	10	6	1	0	1	5	12	30	27	26	13	3	3
"67"	0	0	8	8	23	22	26	4	4	0	0	3	10	14	12	15	14	22	2	0	2	3	6	20	15	24	18	10	3	0	1	5	12	20	18	16	18	12	2	0	0	3	7	17	24	21	16	15	3	2
"68"	0	2	10	18	23	21	16	10	6	1	1	1	8	23	16	14	19	10	5	0	0	1	11	16	20	27	5	7	7	5	0	2	5	21	21	23	16	8	2	1	0	3	5	22	18	17	18	10	0	5
"69"	2	7	3	10	13	12	17	9	9	2	0	7	9	11	15	21	19	19	10	1	3	0	4	11	24	26	16	7	8	0	0	1	3	9	14	18	23	13	5	1	0	3	7	10	21	22	16	12	10	1
"70"	0	3	6	7	12	18	26	6	12	2	2	3	4	14	14	18	19	10	6	3	0	6	4	10	13	27	17	8	6	2	1	3	7	11	13	17	35	8	5	3	1	2	3	4	31	19	32	10	10	7
"71"	4	3	6	9	21	18	21	13	8	2	0	6	8	6	11	13	14	6	6	2	1	3	10	9	21	28	22	3	6	2	2	1	8	14	20	15	15	11	3	0	2	0	17	13	23	25	28	11	1	4
"72"	0	4	7	6	15	9	5	5	7	1	0	0	5	8	12	4	9	8	4	1	0	0	4	11	11	10	6	6	1	0	1	9	6	5	13	16	6	9	1	0	1	2	6	11	16	8	10	8	3	1
"73"	2	0	0	10	14	24	20	15	10	2	0	1	1	5	10	15	19	18	5	0	1	3	2	4	11	25	18	13	3	0	0	0	6	5	12	20	16	23	9	4	0	0	3	9	8	9	11	22	5	7
"74"	1	0	5	14	28	34	28	17	5	4	0	0	3	16	12	21	18	19	7	2	1	1	0	5	17	25	11	9	8	0	0	1	7	2	13	13	21	16	8	0	0	1	0	9	22	18	25	24	7	2
"75"	0	3	5	5	20	29	25	12	6	2	1	0	2	11	15	22	19	14	7	1	1	1	2	10	13	15	18	12	9	1	0	2	5	10	18	28	22	14	8	3	0	3	2	6	23	28	18	19	4	6
"76"	0	2	2	7	15	23	24	8	5	1	0	0	2	13	17	18	26	16	5	1	0	3	3	12	16	28	26	17	7	0	0	4	1	11	14	17	20	18	13	0	3	0	1	8	14	24	22	24	4	5
"77"	0	3	6	9	18	29	28	5	6	0	0	2	5	11	16	14	8	22	8	0	0	3	8	10	18	22	15	8	5	3	0	1	9	14	31	26	15	8	4	0	1	0	5	22	20	24	24	11	2	1
"78"	1	3	3	6	16	23	15	6	4	0	0	0	3	29	24	26	10	12	2	0	1	2	5	11	16	37	22	9	1	2	0	2	6	15	33	22	22	16	1	0	0	0	10	12	17	17	19	9	7	1
"79"	1	1	5	7	16	12	27	10	8	0	0	1	7	24	19	13	16	10	6	0	0	3	10	5	9	31	22	5	3	0	0	1	7	16	28	21	19	19	5	4	0	1	6	17	21	21	13	3	3	0
"80"	4	2	6	6	19	23	14	12	8	0	0	1	9	14	11	13	7	8	9	2	0	3	6	5	19	19	17	11	14	2	0	3	4	8	19	28	27	26	5	7	0	3	3	13	24	12	20	11	2	2
"81"	1	2	9	7	21	15	18	12	14	1	0	2	7	12	8	18	16	11	11	4	0	2	9	6	9	20	22	14	10	0	0	0	9	6	14	24	20	9	9	0	0	2	6	8	15	24	12	15	13	5
"82"	2	0	3	11	12	17	23	12	13	9	1	0	7	3	20	21	28	13	9	2	0	1	4	4	11	24	22	8	12	0	1	4	1	11	17	28	24	12	5	5	1	0	4	7	14	22	22	17	9	4
"83"	0	3	6	14	17	10	14	12	11	4	1	2	9	9	15	30	31	16	10	3	0	0	3	7	24	26	13	3	10	3	1	3	8	15	14	28	18	9	4	4	1	1	10	11	18	19	15	6	7	2
"84"	0	1	0	12	4	7	3	8	3	0	2	0	3	5	7	19	13	12	0	0	0	0	6	10	18	17	9	4	1	1	0	1	3	2	12	9	12	7	1	0	2	1	6	5	11	10	12	8	0	0
"85"	1	0	3	7	13	27	22	15	10	5	0	0	2	7	10	18	23	22	11	0	1	1	3	6	30	10	14	8	4	2	0	2	6	6	25	34	15	10	1	3	3	2	2	3	16	23	18	9	1	0
"86"	0	3	6	17	15	31	39	15	10	0	2	0	0	13	18	22	22	19	4	0	0	0	0	8	16	24	11	10	5	3	0	3	1	8	13	24	16	6	7	2	0	0	5	12	28	25	21	10	2	1
"87"	1	3	7	9	16	16	20	11	1	0	0	1	2	19	20	27	24	10	1	4	1	2	3	4	7	23	19	14	1	1	0	5	3	14	28	23	17	7	4	0	0	3	4	17	31	27	20	11	3	6
"88"	2	0	9	18	25	16	16	8	9	0	0	1	5	14	19	21	14	13	12	1	1	2	3	11	17	22	20	8	3	1	2	4	7	14	14	23	15	14	0	3	0	0	10	14	21	30	21	13	2	2
"89"	1	2	9	18	29	17	10	5	4	1	0	6	7	23	11	9	24	8	2	1	0	5	2	6	23	19	23	9	3	0	0	7	14	24	26	15	15	12	5	2	0	4	3	10	37	21	11	13	1	1
"90"	1	6	12	10	20	25	17	8	7	0	1	1	5	19	16	13	7	4	2	0	0	2	9	10	14	22	17	9	3	2	0	5	7	15	19	27	16	8	4	1	4	2	9	21	18	20	21	7	2	0
"91"	2	6	6	5	14	19	23	12	5	4	0	2	8	12	12	19	13	4	4	1	0	1	14	6	27	17	15	16	10	1	2	2	11	21	21	18	13	3	5	1	0	3	6	11	21	39	22	10	9	4
"92"	0	3	4	6	14	30	17	24	7	0	0	3	11	11	15	20	11	17	5	1	0	0	5	10	25	19	20	9	4	1	0	2	6	8	31	26	20	17	5	6	1	3	5	12	16	26	10	8	5	1
"93"	0	3	1	4	17	18	18	14	5	0	0	1	3	6	14	31	19	23	5	5	1	1	3	6	19	14	28	11	10	0	0	0	5	6	25	27	24	23	2	7	1	0	4	10	11	18	24	17	11	5
"94"	1	0	1	1	10	22	26	16	14	5	0	0	3	3	10	33	16	26	4	5	0	0	4	5	15	19	18	9	11	5	0	1	1	6	10	34	30	14	8	4	0	1	4	5	8	28	31	17	7	8
"95"	0	1	7	7	13	20	17	21	10	0	0	0	10	7	12	21	22	20	16	5	1	1	5	1	23	20	21	7	4	4	1	0	3	11	21	21	29	23	8	3	0	1	7	5	10	12	23	11	12	3
"96"	0	0	1	2	15	15	13	9	3	0	0	0	4	9	14	22	20	9	6	2	0	1	7	5	23	8	9	3	7	4	0	0	1	5	14	14	15	8	1	2	0	1	11	13	8	9	13	6	3	2
"97"	0	4	3	2	15	27	9	12	2	2	0	2	4	4	10	27	24	14	3	0	1	1	5	8	15	16	14	5	2	1	0	0	4	14	27	25	18	7	6	0	0	0	1	16	19	27	6	6	2	1
"98"	0	3	8	8	32	20	24	8	2	0	2	1	1	12	18	23	30	8	7	0	0	2	6	7	17	43	31	13	2	0	1	3	5	6	17	32	3	13	3	0	0	2	1	8	21	30	15	8	4	0
"99"	0	2	4	17	23	24	23	9	6	0	1	4	3	22	20	19	17	7	4	0	0	4	2	12	20	20	24	6	0	1	0	2	10	17	28	23	9	10	7	2	1	1	9	16	13	32	18	4	4	0
"100"	4	5	8	20	17	15	11	6	5	0	3	14	7	24	28	14	9	7	4	0	7	5	12	9	19	24	11	5	2	0	0	2	14	10	32	13	12	6	1	0	2	1	13	15	27	25	16	6	2	2
"101"	0	1	19	16	15	18	7	8	3	0	0	2	8	32	5	15	13	12	6	0	1	10	7	12	19	8	11	9	2	1	0	6	14	32	24	18	8	7	5	1	3	4	9	28	20	16	18	8	1	0
"102"	0	2	6	13	18	20	10	9	3	0	0	0	2	22	13	11	20	15	5	2	0	1	8	14	28	24	17	11	4	1	0	3	8	11	25	25	6	9	5	3	4	4	6	27	23	17	15	14	1	3
"103"	0	1	3	6	24	19	18	16	6	2	1	1	5	7	12	20	9	15	3	3	1	5	5	4	20	20	16	8	2	5	1	2	9	19	17	18	17	15	4	3	1	1	3	4	26	24	21	25	7	6
"104"	0	1	4	3	12	23	20	23	14	0	0	0	1	10	7	15	21	19	11	0	0	5	8	8	12	22	20	17	10	1	0	1	4	7	26	25	16	17	8	1	0	4	7	7	19	25	22	11	7	6
"105"	0	0	6	14	17	15	7	16	7	1	0	1	1	15	9	25	30	15	13	2	1	0	3	6	9	21	27	9	7	0	0	1	6	4	7	16	25	26	5	9	0	0	1	10	13	23	28	16	15	6
"106"	1	0	1	3	9	15	20	12	15	5	0	0	5	5	7	11	33	32	12	5	0	0	0	4	11	16	14	12	16	3	0	0	2	1	19	14	39	16	11	7	0	0	2	11	3	14	23	24	15	10
"107"	0	0	1	3	5	14	27	23	15	4	0	5	1	8	9	16	36	22	3	4	1	0	0	7	27	17	16	11	8	4	0	1	2	5	6	16	31	22	3	2	2	0	7	5	23	18	35	17	3	6
"108"	0	2	0	1	15	19	8	9	5	3	0	1	0	6	5	12	12	20	7	3	1	0	1	5	15	15	13	13	2	3	0	0	3	1	7	14	17	12	1	3	0	0	4	7	7	5	24	6	4	1
"109"	0	1	10	12	23	18	18	5	6	1	1	2	5	9	15	32	17	8	3	0	0	4	5	11	24	25	15	3	3	0	1	1	7	11	21	22	15	7	6	0	0	4	3	13	16	32	9	9	4	1
"110"	1	2	5	12	22	27	17	3	4	0	0	2	3	9	18	33	15	5	6	0	0	4	7	13	18	33	21	10	1	0	1	3	5	22	27	26	11	10	1	1	1	3	9	16	24	34	7	7	1	0
"111"	1	5	8	17	23	23	8	2	1	0	0	5	8	24	14	30	21	2	4	0	0	2	6	11	18	25	10	7	3	0	0	6	9	12	24	19	9	7	5	0	1	6	7	16	23	28	12	14	0	1
"112"	1	4	10	19	28	16	6	2	3	0	2	6	9	14	16	17	10	10	4	1	2	13	17	24	26	16	11	2	1	1	2	4	12	16	20	19	8	3	1	0	3	6	18	17	24	23	12	8	1	0
"113"	0	6	5	10	22	17	6	5	1	0	0	7	11	28	18	19	7	11	0	1	3	15	10	10	23	24	11	8	1	0	1	5	10	21	30	18	14	5	5	1	1	3	9	19	24	28	14	7	4	2
"114"	0	1	3	9	20	22	12	11	8	0	2	6	9	20	16	17	20	11	5	0	1	6	8	5	13	24	18	11	4	6	3	5	16	14	20	13	15	15	3	0	5	4	3	24	19	24	11	11	1	0
"115"	0	1	2	5	14	21	21	27	2	2	0	5	5	16	14	19	19	18	8	1	0	1	4	9	15	29	24	14	7	2	2	0	5	9	11	17	16	8	3	6	1	2	7	12	22	24	17	16	4	3
"116"	0	2	3	2	8	6	13	18	14	8	0	0	1	7	14	22	34	31	10	1	0	3	4	7	13	13	17	23	9	5	0	0	6	11	13	16	17	16	6	4	0	1	2	15	8	20	23	18	9	2
"117"	0	0	3	8	8	20	18	20	22	6	0	1	0	8	10	19	25	23	11	3	0	3	2	2	15	18	32	14	8	4	0	0	1	4	13	22	22	26	8	1	0	0	3	7	6	9	22	34	10	9
"118"	1	2	1	4	11	16	22	26	15	7	0	3	0	4	6	8	19	26	8	7	0	0	1	4	13	16	24	15	16	4	0	0	2	2	11	18	21	22	12	2	0	0	2	3	11	25	18	30	12	3
"119"	0	1	0	7	13	19	17	26	23	4	0	0	2	5	11	10	34	22	9	13	1	0	1	2	20	17	15	17	8	2	0	0	3	3	16	22	21	29	5	1	0	0	1	5	12	24	26	18	12	3
"120"	0	0	2	4	4	11	22	8	5	7	0	2	5	5	5	16	15	13	10	2	1	0	0	4	5	12	17	13	8	4	0	0	0	4	13	15	17	15	4	0	0	0	1	1	7	3	23	12	11	9
"121"	1	2	3	5	11	19	17	4	2	0	0	1	4	7	9	21	8	0	0	1	1	0	3	11	23	39	14	8	0	2	1	0	3	15	24	13	15	2	2	0	0	1	7	12	12	32	9	11	0	0
"122"	2	6	1	14	23	34	14	5	0	1	0	6	6	11	13	22	13	6	0	3	3	5	10	22	25	42	8	6	0	0	1	2	4	13	31	24	7	10	1	0	1	0	9	8	28	40	13	6	1	0
"123"	1	5	10	20	27	16	8	0	1	0	0	11	9	18	14	33	11	3	7	1	1	2	5	14	18	21	6	4	0	0	0	2	8	16	25	28	9	3	1	0	0	6	8	20	26	9	9	3	4	0
"124"	4	0	8	11	17	19	3	4	4	0	0	6	7	29	10	24	3	1	3	0	0	13	16	20	25	17	14	2	0	0	6	5	11	21	20	18	8	4	3	0	5	4	28	18	25	20	10	6	4	1
"125"	4	4	15	19	18	11	9	6	5	0	1	7	10	22	20	19	10	8	5	0	2	8	3	22	24	20	14	3	4	0	2	4	8	25	23	17	12	9	2	1	2	3	19	20	18	22	8	6	6	0
"126"	1	0	8	7	24	12	9	11	3	1	3	1	8	11	13	15	18	10	3	0	0	9	8	14	31	23	12	8	2	4	5	4	10	21	11	19	12	13	5	4	1	6	12	21	21	15	15	13	3	3
"127"	0	1	3	10	11	19	19	15	12	2	0	2	0	19	18	20	30	18	6	0	1	3	4	5	23	19	17	7	8	5	1	1	6	19	12	17	9	12	9	6	2	2	3	19	11	23	20	19	10	2
