	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Castindi	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Ficurufi	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Neonreti	Osmamarg	Pasabrev	Pasaform	Pithluci	Podoform	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Syzykusu	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
21	0	0	0	0	0	3.099999905	0	0	0	7.300000191	0	0	0	0	0	0	0.5	0	0.300000012	0.5	0.400000006	0	0.300000012	0	0	3.599999905	0	0.300000012	0	1.799999952	0	0	0.200000003	0	1.799999952	0	0	0	1.700000048	1.700000048	0	1.799999952	0	0.400000006	0.300000012	1.700000048	16.39999962	0	0.5	0.800000012	0	0	0.699999988	0	11.89999962	5.900000095	0	0	0	0.699999988	0	2.700000048	0	9.100000381	2.200000048	0	0	0.300000012	0.699999988	0.300000012	0	1.5	0	0.300000012	0	2.900000095	0.5	0	0.699999988	0.699999988	0	0	0.300000012	5.599999905	5.300000191	0	0	0.400000006	0
22	0	0	0.400000006	1.299999952	0	3.900000095	0	0	0	7.599999905	0	0	0	0	0	0	1.899999976	0	6.099999905	1.700000048	0.899999976	0	0	4.900000095	0	0.400000006	0	0	0	0	0.100000001	0	7.400000095	0	2.599999905	4.199999809	0.400000006	0	7.300000191	3.400000095	1.600000024	0	3.200000048	0	0	1.5	3.299999952	0	0.400000006	1.399999976	0.800000012	0	0.400000006	0	6.199999809	0	0	0	0.5	0	0	0	0	1.899999976	3.599999905	0	0.400000006	0.400000006	0.400000006	0	0	6.400000095	0	0.600000024	0	1.600000024	1.200000048	0	0	0.400000006	0	0	0	6.900000095	0.5	0	0	0	0
23	0.5	0	0	1.100000024	0	0.100000001	0	0	0	4.800000191	0	1.100000024	0	0	0	0	1.200000048	0	1.700000048	0.600000024	0.200000003	0	0	4.599999905	0	0.200000003	0	0	0	0	0.899999976	0	0.600000024	0	1.600000024	1.100000024	0.800000012	0	2.400000095	0.5	0.800000012	0	1.200000048	0.600000024	0	0	3.200000048	0	0	1.899999976	0	0	0	0	10.39999962	0	0	0	0	0.899999976	0	0.200000003	0	0.200000003	4.900000095	0	0	0.5	2.200000048	0	0	13.5	0	0.200000003	0	0	1.700000048	0	0	0.200000003	0.200000003	0	0	18.5	0.200000003	0	0	0	0
24	2.299999952	0	0	2.799999952	0	1.200000048	0.600000024	0	0	12.80000019	0	0	0	0	0	0	1.100000024	0	3.700000048	0	0.100000001	0.300000012	0.699999988	0	0.200000003	2.599999905	0	0	0	0	0.200000003	0	0	0	4.800000191	0	0	0	1.299999952	1.5	0	1.700000048	0.5	0.200000003	0	0	5.800000191	0	0.5	0	0	0	0.100000001	0	0.200000003	0	0	0	0	0	0	0.5	0	6.699999809	2.799999952	0	0	0	0	0	0	3.599999905	1.100000024	0.600000024	1.600000024	2.099999905	0.800000012	0	0.699999988	0.200000003	0.699999988	0	0	18.5	0.300000012	0	0	0	0
25	0	0	0.899999976	1.799999952	0	0.899999976	0.899999976	0	0	0	0	0.800000012	0	0	0.100000001	0	5.5	0	0	0	3.099999905	0	0	0	0	0.899999976	0	0	0	0.800000012	1.5	0	0	0.899999976	3.5	0	0	0	1.100000024	0	0	2.799999952	0	0	0	0	7.699999809	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	2.400000095	15.80000019	0.100000001	0	0	0.100000001	0	0	3.900000095	0	0.800000012	2.799999952	0	0	0.800000012	0	0.800000012	0	0	0	0.800000012	7.099999905	0	0	1.700000048	0
26	0.200000003	0	0.699999988	4.5	0	3.400000095	2.200000048	0	0	17.10000038	0	3.099999905	0	0	0	0	2.200000048	0	3.200000048	2.700000048	0.699999988	0	0	0	0	0	0	0	0	0	0	0	0	3.400000095	3.599999905	0.699999988	0	0	0	0	0	0	0	0.400000006	0	0	0	0	0	0.699999988	0	0	1.399999976	0	0	0	0	0	0	0	0	0	0	3.900000095	0.800000012	0.699999988	0	0	0	0	0	10.30000019	0	0.100000001	0	0	1.399999976	0.699999988	0.699999988	0	0	0.699999988	0	0	15.60000038	0	0	0	0
27	0.5	0	1.399999976	0.600000024	0	0.400000006	1.799999952	0	0	0	0	0	0	0	0	0	8.300000191	0.600000024	0	1.299999952	0.5	1.600000024	0	1.399999976	0	0	0	0.200000003	0	2.900000095	0	0	0.400000006	0.899999976	0	0	0	0	2.799999952	0	4.599999905	1.299999952	0.600000024	3.099999905	0	0	1.700000048	0	0	1.200000048	0	0	2.5	0	0.400000006	0	0	0	0	0	0.5	1.100000024	0	9.899999619	6.300000191	1.100000024	0.600000024	0.5	3.400000095	0	0	0.800000012	0	0	0.5	0	0	1.299999952	0.400000006	0	0	0.400000006	0	2.299999952	5.5	0	0	0	0
28	0	0	0	0	0	0	0	2.099999905	0	0	0	0	0	0	0	0	0	0	1.5	1.600000024	0	31.20000076	0	0	0	0	1.899999976	23.5	0	2.799999952	1.399999976	0	0	2.200000048	0	0	0.200000003	0	0	0	0	1.5	0	0	0	0	0	0	0	1.399999976	0	0	0	0	1.399999976	0	0	0	0	0	0	0	6.900000095	2.799999952	1.399999976	0	0	0	0	0	5.199999809	0	0	0	0	0	0	1.399999976	0	0	0	0	0	1.5	4.5	0	0	0	0
29	0.100000001	0	1.299999952	1.399999976	0	1.5	0	0	0	0.100000001	0	0.5	0.899999976	0	0	0.5	3.299999952	0	1.399999976	0	0.800000012	0.899999976	0	0.899999976	0.699999988	0	0	0	0	1.299999952	0.899999976	0	2.400000095	0	2.700000048	0.400000006	0	0	2.5	2.700000048	2.900000095	1.700000048	1.899999976	1.100000024	1.399999976	0	0.400000006	0	0	0.400000006	0	0	0.5	0	0.899999976	0	0	0	0	0	0	0	0	8.199999809	0.400000006	0	0	0	0.200000003	0	2.200000048	0.800000012	0.5	0.5	0.5	0.5	0.300000012	0	2.599999905	0	0.400000006	0.400000006	0	2.099999905	3.900000095	0	0	1.299999952	0
30	0	0	0.899999976	0.300000012	0	3.400000095	1.799999952	0	0	0.899999976	0	0	0.600000024	0	0	0	0.100000001	7.400000095	5.5	1.299999952	0.600000024	0.300000012	0	1.799999952	0	0	0	0	0	0.600000024	0.600000024	0.300000012	0.300000012	0.300000012	0.300000012	0.300000012	0	0.699999988	0.100000001	9.699999809	15.19999981	4.099999905	0.300000012	0	0.699999988	0.300000012	1.200000048	0	0	0	0	0	1.5	0	0	0	0	0	0.699999988	1.200000048	0.300000012	0.300000012	0	2.700000048	0.600000024	0	0	0.600000024	1.100000024	0	0	5.5	0.300000012	0.899999976	0	0.899999976	0.300000012	0	0.600000024	0	0.300000012	0.300000012	0	0	3.400000095	0	0	0.200000003	0.300000012
