Meadow	Acer_sp.	AchiMill	AgroCani	AgroCapi	AgroStol	AjugRept	AlchCrin	AlchGlab	AlchVulg	AlnuGlut	AlnuInca	AnemNemo	AngeSylv	AnthOdor	Betu_sp.	BlysComp	BrizMedi	BromErec	CalaEpig	CaltPalu	CardAmar	CardPrat	CarpBetu	CarxDemi	CarxDist	CarxEchi	CarxFlac	CarxFlav	CarxHirt	CarxNigr	CarxPall	CarxPani	CarxPncl	CarxTome	CentJace	CirsPalu	CirsRivu	ColchAut	CrepPalu	CrucGlab	DactFuch	DactGlom	DactInca	DactMaja	DantDecu	DeschCes	DrosRotu	EleoQUin	EpilPalu	EpilParv	EpipPalu	EquiArve	EquiFluv	EquiPalu	EquiSylv	EquiTelm	ErioAngu	ErioLati	EupaCann	EuphOffi	FestPrat	FestRubr	FiliUlma	FraxExce	GaliAlbu	GaliPalu	GaliUlig	GymnCono	HolcLana	HypeMacu	HypeTetr	JuncArti	JuncBulb	JuncCong	JuncEffu	JuncInfl	LathPrat	LeonHisp	LeucVulg	LinuCath	ListOvat	LotuCorn	LotuPedu	LuzuCamp	LuzuMult	LychFlos	LycoEuro	LysiNemo	LysiNumm	LysiVulg	LythSali	MentArve	MentLong	MoliArun	MyosNemo	NardStri	ParnPalu	PediSylv	PiceAbie	PlanLanc	PoaTriv 	PolyAmar	PolyVulg	PoteErec	PrimElat	PrunVulg	RanuAcri	RanuFlam	RanuRepe	RhinMino	RumxAcet	SalxCine	SangOffi	ScirSylv	SuccPrat	Tarx_Pal	TrifPrat	TrigPalu	TussFarf	ValeDioi	ValeSimp	ViciCrac	ViolPalu
S11     	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	2	0	3	3	0	0	0	0	2	0	3	3	2	0	0	3	3	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	5	0	0	3	0	0	2	6	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0
S12     	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0
S13     	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	5	0	5	0	6	0	3	3	0	5	2	0	3	0	2	0	0	0	0	0	0	0	0	3	2	0	5	0	0	0	2	0	0	3	2	0	1	0	2	0	0	2	0	0	0	0	0	0	7	0	2	0	0	0	2	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0	0	2	0	0	5	0	0	2	0	2	0	0	0	0	3	0	0	1	0	5	0	0	0	0
S14     	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	7	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	6	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	2	2	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	6	0	2	0
S15     	0	0	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	5	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	3	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	2	8	6	0	0
S16     	0	0	6	3	0	0	0	0	0	0	0	1	0	5	0	0	2	0	0	0	0	0	0	2	0	7	0	0	0	5	2	3	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	1	0	0	0	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
S17     	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	1	0	0	2	0	0	0	7	0	6	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	6	0	0	6	3	1	0	0	1	1	0	0	2	0	0	2	0	2	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	2	3	0	0	0	0	0	5	0	0
S18     	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	2	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	3	0	0	6	1	2	0	0	0
S19     	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	6	0	2	0	0	0	0	0	0	2	0	0	0	0	3	0	0	5	0	2	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	5	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	5
S20     	0	0	5	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	7	0	5	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	5	3	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	2	0	0	6	0	2	0	3	0	0	3	0	0	0	0	2	0	0	0	7	0	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2
