Site ID	Agongrat	Agonplac	Agonretr	Agonsord	Agonsupe	Amarlitt	Amarluni	Badiobtu	Bembgrap	Bembrupi	Calaadve	Calaingr	Calofrig	Caracham	Dichcogn	Elapamer	Elaplapp	Harpfulv	Loripili	Miscarct	Nebrgyll	Notibore	Notidire	Patrfove	Patrsept	Platdece	Platmann	Pteradst	Pterbrev	Pterhaem	Pterpens	Pterpunc	Pterripa	Seriquad	Synuimpu	Trecapic	Trecchal
40	0	0	0	0	0	0	0	0	0	0	0.0306513409961686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0.00383141762452107	0.0114942528735632	0.0421455938697318	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	0	0.112359550561798	0.0149812734082397	0	0.00374531835205993	0	0	0	0	0	0	0	0	0	0	0	0.0149812734082397	0	0.0337078651685393	0.00374531835205993	0.179775280898876	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0.00374531835205993	0	0	0	0	0.00749063670411985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374531835205993	0	0	0	0	0	0	0
43	0	0	0.00904977375565611	0	0	0	0	0	0	0	0	0	0.00452488687782805	0.0135746606334842	0	0	0	0	0	0	0	0	0	0.0180995475113122	0	0.0542986425339367	0	0.0135746606334842	0.00452488687782805	0.00452488687782805	0.00452488687782805	0	0	0	0	0	0
44	0	0	0.00452488687782805	0	0	0	0	0	0	0	0	0.0135746606334842	0	0.0226244343891403	0	0	0	0	0	0	0	0	0	0	0	0.0180995475113122	0	0.0452488687782805	0	0.085972850678733	0	0.00452488687782805	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227272727272727	0	0.0378787878787879	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427350427350427	0	0	0	0	0	0	0	0.00427350427350427	0	0.00854700854700855	0.00427350427350427	0	0	0	0	0	0	0	0	0	0
47	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0.0114942528735632	0	0.0191570881226054	0	0.0804597701149425	0	0.0191570881226054	0	0	0	0	0.00383141762452107
48	0	0	0.00409836065573771	0	0	0	0	0	0	0	0	0.00819672131147541	0	0.00819672131147541	0	0	0	0	0	0	0	0	0	0	0	0.00819672131147541	0	0.0245901639344262	0.00409836065573771	0.0368852459016393	0	0.00819672131147541	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0	0.176245210727969	0.0191570881226054	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.0574712643678161	0.0229885057471264	0.145593869731801	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0.0187265917602996	0.00749063670411985	0	0.00749063670411985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149812734082397	0.0112359550561798	0.0786516853932584	0	0.00749063670411985	0	0	0	0	0.00374531835205993
51	0	0	0.00409836065573771	0	0	0	0	0	0	0	0.00409836065573771	0.0163934426229508	0	0.0163934426229508	0	0	0	0	0	0	0	0	0	0.0163934426229508	0	0.00819672131147541	0	0.0737704918032787	0	0.159836065573771	0	0.0163934426229508	0	0	0	0	0
52	0.00980392156862745	0	0	0.00490196078431373	0	0	0	0	0	0	0	0.00490196078431373	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00490196078431373	0.00490196078431373	0	0	0	0	0	0	0	0	0	0.00490196078431373
53	0	0	0.00378787878787879	0	0	0	0	0	0	0	0	0.00757575757575758	0	0.00757575757575758	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0.00378787878787879	0	0.00378787878787879	0.0113636363636364	0.0757575757575758	0	0.00757575757575758	0	0	0	0	0
