"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"41"	0	0	0	2	0	2	15	24	9	8	0	0	0	0	4	6	53	29	11	2	0	0	0	1	0	15	18	29	11	0	0	0	0	0	1	6	41	13	20	5	0	0	0	0	8	30	30	24	55	0
"42"	0	0	0	15	14	17	14	28	0	4	0	7	1	25	16	17	38	11	0	0	0	0	1	11	12	32	18	11	7	1	2	0	2	6	36	3	35	15	8	0	0	3	0	8	37	12	18	2	9	4
"43"	0	0	1	13	31	25	2	0	0	10	0	0	10	19	26	9	8	10	3	0	0	0	16	20	55	15	13	0	0	0	0	37	8	11	31	6	1	15	0	1	0	0	7	27	30	16	3	4	0	0
"44"	0	4	6	15	26	18	6	6	0	0	3	5	4	33	27	17	1	6	0	0	0	2	11	13	43	12	4	6	2	0	0	16	6	12	34	2	28	4	0	0	0	5	7	34	36	18	22	1	0	0
"45"	1	7	11	12	16	29	12	2	5	0	2	7	10	5	6	14	0	7	0	0	1	6	3	28	23	48	6	2	3	0	27	19	21	16	20	15	16	0	1	0	2	0	15	23	7	8	16	2	0	0
"46"	0	26	11	10	5	15	18	0	1	0	3	5	30	30	22	26	2	0	2	0	3	6	13	20	13	0	2	2	1	2	3	2	6	30	23	9	4	0	0	0	2	6	38	24	7	1	2	2	1	0
"47"	6	8	18	22	0	5	7	0	0	0	11	29	50	23	18	3	5	0	0	0	15	22	6	19	4	2	4	2	0	0	10	46	30	30	9	0	0	0	0	0	1	26	28	18	13	0	2	0	0	0
"48"	8	41	10	4	0	4	0	2	0	0	31	18	23	7	4	1	0	0	5	0	26	35	12	2	0	1	0	0	0	0	22	48	29	27	4	8	0	0	0	0	6	29	32	13	5	11	0	0	0	0
"49"	0	0	0	0	0	14	8	38	52	4	0	0	0	0	2	0	20	16	17	11	0	0	0	0	2	6	8	24	30	10	0	0	0	0	0	27	7	28	40	13	0	0	0	0	0	9	28	57	18	11
"50"	0	0	0	0	0	2	30	53	15	1	0	0	0	0	0	21	37	25	27	0	0	0	1	0	9	3	17	35	42	1	0	0	0	0	3	12	13	39	14	5	0	0	0	0	0	13	17	18	5	1
"51"	0	0	0	2	9	21	19	29	23	0	0	0	0	1	6	19	44	18	26	0	0	0	1	0	7	7	33	26	15	0	0	0	0	0	1	8	24	30	11	4	0	0	0	5	7	19	37	20	8	0
"52"	0	0	0	0	1	10	21	21	27	7	0	0	0	0	5	7	22	30	21	1	0	0	0	0	1	20	48	27	15	11	0	0	0	0	6	30	27	21	14	2	1	0	1	0	0	11	58	26	6	2
"53"	0	0	0	0	12	10	10	21	19	15	0	0	0	3	2	3	37	15	9	9	0	0	0	5	3	8	20	34	8	25	0	0	1	0	1	0	30	36	13	1	0	0	2	1	5	12	20	33	29	21
"54"	0	11	2	1	8	34	11	2	8	0	0	3	7	7	8	7	10	9	12	0	0	7	6	9	30	9	27	11	2	0	0	1	9	6	22	17	16	14	9	0	0	0	10	20	22	14	22	16	3	6
"55"	0	2	29	2	28	12	8	1	4	0	3	10	1	50	43	9	5	1	0	0	0	13	10	25	34	16	0	0	0	10	0	2	19	17	14	6	0	2	0	0	1	8	53	27	21	11	3	0	0	0
"56"	2	1	31	16	26	5	21	0	2	0	8	2	9	25	29	7	0	9	0	0	0	5	14	29	13	17	1	2	0	0	0	11	17	2	24	7	4	0	5	0	0	1	30	20	15	32	0	1	0	0
"57"	0	0	17	3	12	32	18	19	3	0	0	5	8	16	20	6	2	7	7	1	0	0	5	18	21	11	3	20	2	2	0	4	12	16	14	16	3	2	4	9	0	1	22	20	3	21	12	28	7	5
"58"	0	5	2	10	0	23	4	25	7	4	0	1	3	1	9	21	4	8	13	0	1	2	9	8	20	20	10	10	4	0	0	7	12	18	9	14	17	2	15	13	4	2	24	41	21	15	19	13	2	3
"59"	5	11	5	20	0	18	4	1	3	0	1	11	29	26	29	6	3	2	1	0	3	27	6	9	11	22	7	3	5	0	0	4	29	43	29	14	2	0	4	0	0	4	20	21	8	23	11	14	6	0
"60"	1	14	4	17	8	14	1	1	1	0	6	6	25	5	42	14	1	0	0	0	1	11	16	25	5	27	0	0	0	0	6	7	11	9	36	16	2	0	0	0	0	9	15	40	17	18	0	8	1	0
"61"	0	0	0	3	1	6	5	32	44	3	0	0	0	1	0	3	16	41	26	7	0	0	0	0	2	1	8	18	18	22	0	0	0	0	6	7	14	11	16	16	0	0	0	0	1	8	9	24	24	32
"62"	0	0	1	1	0	18	5	59	38	10	0	0	0	0	5	13	17	46	11	0	0	0	2	0	4	4	14	15	23	7	0	0	4	0	5	3	15	15	16	6	0	0	0	4	2	15	34	42	31	7
"63"	0	1	0	13	11	6	23	17	28	3	0	0	0	0	10	13	34	19	12	0	0	0	1	0	9	3	35	38	12	1	0	0	2	2	4	9	32	22	12	3	0	0	0	1	12	43	44	20	4	1
"64"	0	0	0	2	10	7	19	23	15	6	1	0	0	1	4	17	24	41	8	4	0	0	0	0	11	8	27	17	10	12	0	0	0	0	4	29	34	8	4	15	0	0	0	4	20	12	65	20	3	15
"65"	0	0	0	0	17	7	27	27	12	9	2	0	0	16	3	9	8	32	8	6	0	0	1	4	1	7	49	6	11	30	0	2	6	9	4	11	36	22	11	5	0	1	0	2	18	5	32	33	6	5
"66"	0	2	3	27	28	40	7	8	4	0	0	0	11	20	14	9	11	6	15	0	1	0	9	7	28	5	23	1	1	2	0	12	9	31	15	19	12	9	5	0	0	2	15	31	18	14	3	7	8	2
"67"	0	7	11	8	22	6	5	0	2	0	11	0	14	20	18	5	8	0	0	0	0	15	28	32	7	2	4	0	1	0	0	0	29	28	44	8	12	3	0	0	0	0	20	52	29	5	0	6	0	0
"68"	1	4	6	12	16	4	15	6	1	2	8	7	9	15	7	4	16	10	0	0	2	5	31	23	25	3	4	6	3	4	0	10	21	13	17	4	16	10	13	1	0	4	30	41	19	21	1	5	1	0
