p10	vegtype	relev	aspect	slope	elev	convex	row	column
200	1	24	135	15.95	332	0.89 	7	20
201	1	24	135	8.13	331	0.55 	7	21
202	1	22	145	14.04	329	1.30 	7	22
203	1	18	145	26.57	326	-0.13 	7	23
204	2	16	85	11.31	323	-1.03 	7	24
205	2	18	15	21.8	325	0.27 	7	25
206	2	19	45	14.04	326	1.07 	7	26
207	1	18	75	12.53	325	1.15 	7	27
208	1	16	95	14.04	324	0.72 	7	28
209	1	14	105	11.31	322	0.37 	7	29
210	1	15	105	11.31	320	-0.74 	7	30
211	2	28	115	12.53	337	0.95 	8	1
212	1	26	135	18.43	335	0.53 	8	2
213	1	22	135	26.57	332	-0.06 	8	3
214	2	18	135	21.8	327	-2.01 	8	4
215	3	17	5	15.95	326	-2.25 	8	5
216	2	17	15	12.53	328	0.24 	8	6
217	2	16	65	11.31	328	1.03 	8	7
218	1	15	105	11.31	327	0.62 	8	8
219	1	12	115	18.43	325	0.44 	8	9
220	2	8	115	18.43	321	0.36 	8	10
221	2	4	125	21.8	317	-0.11 	8	11
222	4	1	115	15.95	314	-1.78 	8	12
223	4	1	35	7.59	314	-1.71 	8	13
224	4	5	75	26.57	318	0.19 	8	14
225	3	8	75	33.69	322	0.91 	8	15
226	3	14	85	33.69	327	1.68 	8	16
227	2	18	105	21.8	330	2.55 	8	17
228	2	20	105	10.3	333	2.39 	8	18
229	1	22	135	10.3	333	1.72 	8	19
230	1	19	175	14.04	332	0.82 	8	20
231	1	22	155	14.04	330	0.87 	8	21
232	1	21	155	21.8	328	0.84 	8	22
233	2	18	155	11.31	325	-0.72 	8	23
234	2	18	15	18.43	325	-0.11 	8	24
235	2	20	135	5.44	326	1.47 	8	25
236	2	20	135	5.44	326	1.62 	8	26
237	1	20	105	5.44	326	1.50 	8	27
238	1	18	105	12.53	325	0.91 	8	28
239	1	16	125	11.31	323	0.80 	8	29
240	1	14	125	11.31	321	0.13 	8	30
241	1	27	125	26.57	339	1.64 	9	1
242	1	25	125	15.95	336	0.38 	9	2
243	1	22	105	26.57	333	0.16 	9	3
244	2	18	85	18.43	329	-2.06 	9	4
245	2	18	5	21.8	329	-0.92 	9	5
246	2	18	35	10.3	330	1.22 	9	6
247	2	17	115	9.46	329	0.40 	9	7
248	2	15	115	11.31	328	0.29 	9	8
249	2	13	115	14.04	326	0.36 	9	9
250	2	10	115	21.8	323	0.11 	9	10
251	3	6	75	26.57	319	-0.87 	9	11
252	4	4	65	18.43	317	-1.13 	9	12
253	4	0	25	21.8	314	-1.91 	9	13
254	4	2	75	15.95	316	-0.85 	9	14
