	type_of_food
recipe_0570	Cookies
recipe_0571	Cookies
recipe_0572	Cookies
recipe_0573	Cookies
recipe_0574	Cookies
recipe_0575	Cookies
recipe_0576	Cookies
recipe_0577	Cookies
recipe_0578	Cookies
recipe_0579	Cookies
recipe_0580	Cookies
recipe_0581	Cookies
recipe_0582	Cookies
recipe_0583	Cookies
recipe_0584	Cookies
recipe_0585	Cookies
recipe_0586	Cookies
recipe_0587	Cookies
recipe_0588	Cookies
recipe_0589	Cookies
recipe_0590	Cookies
recipe_0591	Cookies
recipe_0592	Cookies
recipe_0593	Cookies
recipe_0594	Cookies
recipe_0595	Cookies
recipe_0596	Cookies
recipe_0597	Cookies
recipe_0598	Cookies
recipe_0599	Cookies
recipe_0600	Cookies
recipe_0601	Cookies
recipe_0602	Cookies
recipe_0603	Cookies
recipe_0604	Cookies
recipe_0605	Cookies
recipe_0606	Cookies
recipe_0607	Cookies
recipe_0608	Cookies
recipe_0609	Cookies
recipe_0610	Cookies
recipe_0611	Cookies
recipe_0612	Cookies
recipe_0613	Cookies
recipe_0614	Cookies
recipe_0615	Cookies
recipe_0616	Cookies
recipe_0617	Cookies
recipe_0618	Cookies
recipe_0619	Cookies
recipe_0620	Cookies
recipe_0621	Cookies
recipe_0622	Cookies
recipe_0623	Cookies
recipe_0624	Cookies
recipe_0625	Cookies
recipe_0626	Cookies
recipe_0627	Cookies
recipe_0628	Cookies
recipe_0629	Cookies
recipe_0630	Cookies
recipe_0631	Cookies
recipe_0632	Cookies
recipe_0633	Cookies
recipe_0634	Cookies
recipe_0635	Cookies
recipe_0636	Cookies
recipe_0637	Cookies
recipe_0638	Cookies
recipe_0639	Cookies
recipe_0640	Cookies
recipe_0641	Cookies
recipe_0642	Cookies
recipe_0643	Cookies
recipe_0644	Cookies
recipe_0645	Cookies
recipe_0646	Cookies
recipe_0647	Cookies
recipe_0648	Cookies
recipe_0649	Cookies
recipe_0650	Cookies
recipe_0651	Cookies
recipe_0652	Cookies
recipe_0653	Cookies
recipe_0654	Cookies
recipe_0655	Cookies
recipe_0656	Cookies
recipe_0657	Cookies
recipe_0658	Cookies
recipe_0659	Cookies
recipe_0660	Cookies
recipe_0661	Cookies
recipe_0662	Cookies
recipe_0663	Cookies
recipe_0664	Cookies
recipe_0665	Cookies
recipe_0666	Cookies
recipe_0667	Cookies
recipe_0668	Cookies
recipe_0669	Cookies
recipe_0670	Cookies
recipe_0671	Cookies
recipe_0672	Cookies
recipe_0673	Cookies
recipe_0674	Cookies
recipe_0675	Cookies
recipe_0676	Cookies
recipe_0677	Cookies
recipe_0678	Cookies
recipe_0679	Cookies
recipe_0680	Cookies
recipe_0681	Cookies
recipe_0682	Cookies
recipe_0683	Cookies
recipe_0684	Cookies
recipe_0685	Cookies
recipe_0686	Cookies
recipe_0687	Cookies
recipe_0688	Cookies
recipe_0689	Cookies
recipe_0690	Cookies
recipe_0691	Cookies
recipe_0692	Cookies
recipe_0693	Cookies
recipe_0694	Cookies
recipe_0695	Cookies
recipe_0696	Cookies
recipe_0697	Cookies
recipe_0698	Cookies
recipe_0699	Cookies
recipe_0700	Cookies
recipe_0701	Cookies
recipe_0702	Cookies
recipe_0703	Cookies
recipe_0704	Cookies
recipe_0705	Cookies
recipe_0706	Cookies
recipe_0707	Cookies
recipe_0708	Cookies
recipe_0709	Cookies
recipe_0710	Cookies
recipe_0711	Cookies
recipe_0712	Cookies
recipe_0713	Cookies
recipe_0714	Cookies
recipe_0715	Cookies
recipe_0716	Cookies
recipe_0717	Cookies
recipe_0718	Cookies
recipe_0719	Cookies
recipe_0720	Cookies
recipe_0721	Cookies
recipe_0722	Cookies
recipe_0723	Cookies
recipe_0724	Cookies
recipe_0725	Cookies
recipe_0726	Cookies
recipe_0727	Cookies
recipe_0728	Cookies
recipe_0729	Cookies
recipe_0730	Cookies
recipe_0731	Cookies
recipe_0732	Cookies
recipe_0733	Cookies
recipe_0734	Cookies
recipe_0735	Cookies
recipe_0736	Cookies
recipe_0737	Cookies
recipe_0738	Cookies
recipe_0739	Cookies
recipe_0740	Cookies
recipe_0741	Cookies
recipe_0742	Cookies
recipe_0743	Cookies
recipe_0744	Cookies
recipe_0745	Cookies
recipe_0746	Cookies
recipe_0747	Cookies
recipe_0748	Cookies
recipe_0749	Cookies
recipe_0750	Cookies
recipe_0751	Cookies
recipe_0752	Cookies
recipe_0753	Cookies
recipe_0754	Cookies
recipe_0755	Cookies
recipe_0756	Cookies
recipe_0757	Cookies
recipe_0758	Cookies
recipe_0759	Cookies
recipe_0760	Cookies
recipe_0761	Cookies
recipe_0762	Cookies
recipe_0763	Cookies
recipe_0764	Cookies
recipe_0765	Cookies
recipe_0766	Cookies
recipe_0767	Cookies
recipe_0768	Cookies
recipe_0769	Cookies
recipe_0770	Cookies
recipe_0771	Cookies
recipe_0772	Cookies
recipe_0773	Cookies
recipe_0774	Cookies
recipe_0775	Cookies
recipe_0776	Cookies
recipe_0777	Cookies
recipe_0778	Cookies
recipe_0779	Cookies
recipe_0780	Cookies
recipe_0781	Cookies
recipe_0782	Cookies
recipe_0783	Cookies
recipe_0784	Cookies
recipe_0785	Cookies
recipe_0786	Cookies
recipe_0787	Cookies
recipe_0788	Cookies
recipe_0789	Cookies
recipe_0790	Cookies
recipe_0791	Cookies
recipe_0792	Cookies
recipe_0793	Cookies
recipe_0794	Cookies
recipe_0795	Cookies
recipe_0796	Cookies
recipe_0797	Cookies
recipe_0798	Cookies
recipe_0799	Cookies
recipe_0800	Cookies
recipe_0801	Cookies
recipe_0802	Cookies
recipe_0803	Cookies
recipe_0804	Pastries
recipe_0805	Pastries
recipe_0806	Pastries
recipe_0807	Pastries
recipe_0808	Pastries
recipe_0809	Pastries
recipe_0810	Pastries
recipe_0811	Pastries
recipe_0812	Pastries
recipe_0813	Pastries
recipe_0814	Pastries
recipe_0815	Pastries
recipe_0816	Pastries
recipe_0817	Pastries
recipe_0818	Pastries
recipe_0819	Pastries
recipe_0820	Pastries
recipe_0821	Pastries
recipe_0822	Pastries
recipe_0823	Pastries
recipe_0824	Pastries
recipe_0825	Pastries
recipe_0826	Pastries
recipe_0827	Pastries
recipe_0828	Pastries
recipe_0829	Pastries
recipe_0830	Pastries
recipe_0831	Pastries
recipe_0832	Pastries
recipe_0833	Pastries
recipe_0834	Pastries
recipe_0835	Pastries
recipe_0836	Pastries
recipe_0837	Pastries
recipe_0838	Pastries
recipe_0839	Pastries
recipe_0840	Pastries
recipe_0841	Pastries
recipe_0842	Pastries
recipe_0843	Pastries
recipe_0844	Pastries
recipe_0845	Pastries
recipe_0846	Pastries
recipe_0847	Pastries
recipe_0848	Pastries
recipe_0849	Pastries
recipe_0850	Pastries
recipe_0851	Pastries
recipe_0852	Pastries
recipe_0853	Pastries
recipe_0854	Pastries
recipe_0855	Pastries
recipe_0856	Pastries
recipe_0857	Pastries
recipe_0858	Pastries
recipe_0859	Pastries
recipe_0860	Pastries
recipe_0861	Pastries
recipe_0862	Pastries
recipe_0863	Pastries
recipe_0864	Pastries
recipe_0865	Pastries
recipe_0866	Pastries
recipe_0867	Pastries
recipe_0868	Pastries
recipe_0869	Pastries
recipe_0870	Pastries
recipe_0871	Pastries
recipe_0872	Pastries
recipe_0873	Pastries
recipe_0874	Pastries
recipe_0875	Pastries
recipe_0876	Pastries
recipe_0877	Pastries
recipe_0878	Pastries
recipe_0879	Pastries
recipe_0880	Pastries
recipe_0881	Pastries
recipe_0882	Pastries
recipe_0883	Pastries
recipe_0884	Pastries
recipe_0885	Pastries
recipe_0886	Pastries
recipe_0887	Pastries
recipe_0888	Pastries
recipe_0889	Pastries
recipe_0890	Pastries
recipe_0891	Pastries
recipe_0892	Pastries
recipe_0893	Pastries
recipe_0894	Pastries
recipe_0895	Pastries
recipe_0896	Pastries
recipe_0897	Pastries
recipe_0898	Pastries
recipe_0899	Pastries
recipe_0900	Pastries
recipe_0901	Pastries
recipe_0902	Pastries
recipe_0903	Pastries
recipe_0904	Pastries
recipe_0905	Pastries
recipe_0906	Pastries
recipe_0907	Pastries
recipe_0908	Pastries
recipe_0909	Pastries
recipe_0910	Pastries
recipe_0911	Pastries
recipe_0912	Pastries
recipe_0913	Pastries
recipe_0914	Pastries
recipe_0915	Pastries
recipe_0916	Pastries
recipe_0917	Pastries
recipe_0918	Pastries
recipe_0919	Pastries
recipe_0920	Pastries
recipe_0921	Pastries
recipe_0922	Pastries
recipe_0923	Pastries
recipe_0924	Pastries
recipe_0925	Pastries
recipe_0926	Pastries
recipe_0927	Pastries
recipe_0928	Pastries
recipe_0929	Pastries
recipe_0930	Pastries
recipe_0931	Pastries
recipe_0932	Pastries
recipe_0933	Pastries
recipe_0934	Pastries
recipe_0935	Pastries
recipe_0936	Pastries
recipe_0937	Pastries
recipe_0938	Pastries
recipe_0939	Pastries
recipe_0940	Pastries
recipe_0941	Pastries
recipe_0942	Pastries
recipe_0943	Pastries
recipe_0944	Pastries
recipe_0945	Pastries
recipe_0946	Pastries
recipe_0947	Pastries
recipe_0948	Pastries
recipe_0949	Pastries
recipe_0950	Pastries
recipe_0951	Pastries
recipe_0952	Pastries
recipe_0953	Pastries
recipe_0954	Pastries
recipe_0955	Pastries
recipe_0956	Pastries
recipe_0957	Pastries
recipe_0958	Pastries
recipe_0959	Pastries
recipe_0960	Pastries
recipe_0961	Pastries
recipe_0962	Pastries
recipe_0963	Pastries
recipe_0964	Pastries
recipe_0965	Pastries
recipe_0966	Pastries
recipe_0967	Pastries
recipe_0968	Pastries
recipe_0969	Pastries
recipe_0970	Pastries
recipe_0971	Pastries
recipe_0972	Pastries
recipe_0973	Pastries
recipe_0974	Pastries
recipe_0975	Pastries
recipe_0976	Pastries
recipe_0977	Pastries
recipe_0978	Pastries
recipe_0979	Pastries
recipe_0980	Pastries
recipe_0981	Pastries
recipe_0982	Pastries
recipe_0983	Pastries
recipe_0984	Pastries
recipe_0985	Pastries
recipe_0986	Pastries
recipe_0987	Pastries
recipe_0988	Pastries
recipe_0989	Pastries
recipe_0990	Pastries
recipe_0991	Pastries
recipe_0992	Pastries
recipe_0993	Pastries
recipe_0994	Pastries
recipe_0995	Pastries
recipe_0996	Pastries
recipe_0997	Pastries
recipe_0998	Pastries
recipe_0999	Pastries
recipe_1000	Pastries
recipe_1001	Pastries
recipe_1002	Pastries
recipe_1003	Pastries
recipe_1004	Pastries
recipe_1005	Pastries
recipe_1006	Pastries
recipe_1007	Pastries
recipe_1008	Pastries
recipe_1009	Pastries
recipe_1010	Pastries
recipe_1011	Pastries
recipe_1012	Pastries
recipe_1013	Pastries
recipe_1014	Pastries
recipe_1015	Pastries
recipe_1016	Pastries
recipe_1017	Pastries
recipe_1018	Pastries
recipe_1019	Pastries
recipe_1020	Pastries
recipe_1021	Pastries
recipe_1022	Pastries
recipe_1023	Pastries
recipe_1024	Pastries
recipe_1025	Pastries
recipe_1026	Pastries
recipe_1027	Pastries
recipe_1028	Pastries
recipe_1029	Pastries
recipe_1030	Pastries
recipe_1031	Pastries
recipe_1032	Pastries
recipe_1033	Pastries
recipe_1034	Pastries
recipe_1035	Pastries
recipe_1036	Pastries
recipe_1037	Pastries
recipe_1038	Pastries
recipe_1039	Pastries
recipe_1040	Pastries
recipe_1041	Pastries
recipe_1042	Pastries
recipe_1043	Pastries
recipe_1044	Pastries
recipe_1045	Pastries
recipe_1046	Pastries
recipe_1047	Pastries
recipe_1048	Pastries
recipe_1049	Pastries
recipe_1050	Pastries
recipe_1051	Pastries
recipe_1052	Pastries
recipe_1053	Pastries
recipe_1054	Pastries
recipe_1055	Pastries
recipe_1056	Pastries
recipe_1057	Pastries
recipe_1058	Pastries
recipe_1059	Pastries
recipe_1060	Pastries
recipe_1061	Pastries
recipe_1062	Pastries
recipe_1063	Pastries
recipe_1064	Pastries
recipe_1065	Pastries
recipe_1066	Pastries
recipe_1067	Pastries
recipe_1068	Pastries
recipe_1069	Pastries
recipe_1070	Pastries
recipe_1071	Pastries
recipe_1072	Pastries
recipe_1073	Pastries
recipe_1074	Pastries
recipe_1075	Pastries
recipe_1076	Pastries
recipe_1077	Pastries
recipe_1078	Pastries
recipe_1079	Pastries
recipe_1080	Pastries
recipe_1081	Pastries
recipe_1082	Pastries
recipe_1083	Pastries
recipe_1084	Pastries
recipe_1085	Pastries
recipe_1086	Pastries
recipe_1087	Pastries
recipe_1088	Pastries
recipe_1089	Pastries
recipe_1090	Pastries
recipe_1091	Pastries
recipe_1092	Pastries
recipe_1093	Pastries
recipe_1094	Pastries
