ID No,Latitude,Longitude,Depth,Temperature,Re_hi,An_de,An_mi,Hi_pl,An_lu,Me_ae,Ra_ra,Mi_po,Ar_at,No_rk,Lu_la,Ma_vi,Bo_sa,Cy_lu,Cl_ha,Se_me,Le_de,Ga_mo,Le_ma,Se_ma,Tr_es,Ly_pa,Ly_eu,Ly_re,Ly_se,Ly_es,Ly_va,Be_gl,Ca_re,Tr_spp
453,74.27,23.98,370,1.45,2,3,2,73,0,0,2,0,2,0,0,6,0,0,0,93,0,311,0,2,0,0,1,0,0,0,6,0,3,3
454,73.95,22.15,474,1.55,10,3,0,187,0,1,3,0,1,2,0,4,0,0,0,124,3,32,0,0,0,0,0,0,0,1,0,0,0,0
455,73.67,20.63,486,1.65,12,2,0,289,0,0,3,0,0,0,0,0,0,0,0,313,0,46,0,0,0,0,0,0,0,0,0,0,0,0
456,73.70,19.65,362,1.65,2,3,0,91,0,1,2,0,7,0,0,1,0,0,0,127,1,130,0,0,0,0,0,0,0,0,0,0,1,0
457,73.75,18.55,263,1.55,0,1,2,198,0,4,6,0,9,0,0,1,1,0,0,31,0,137,0,8,1,0,0,0,0,0,1,0,0,0
458,74.07,17.30,209,1.85,0,0,1,161,2,2,3,0,0,0,0,0,0,0,0,0,0,121,0,21,0,0,0,0,0,0,1,0,0,0
459,74.33,16.87,215,2.35,0,1,0,103,3,4,4,2,1,0,0,0,0,1,0,0,0,21,0,24,0,0,0,0,0,0,0,0,0,0
460,73.12,18.52,420,2.05,1,1,0,78,0,2,1,5,0,0,0,12,0,0,0,368,0,48,0,0,0,0,0,0,0,0,2,0,0,0
461,73.12,19.70,432,1.85,2,1,0,65,0,0,2,1,0,3,0,6,0,0,0,368,0,0,0,3,0,0,0,0,0,0,3,0,1,0
462,70.83,21.32,167,4.45,0,0,0,10,2,50,0,0,0,0,0,0,0,0,0,0,0,30,0,30,110,0,0,0,0,0,0,0,0,0
465,73.38,17.37,462,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
