	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Osmamarg	Pasabrev	Pasaform	Pithluci	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo.1	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
73	0	0	0.899999976	0.100000001	0	3.400000095	0	0	0	0	0	0	0	0	0	0	0	1.600000024	0	0	0.100000001	0	0	0.899999976	0	0	4.5	0	0	0.899999976	0	9.5	6.400000095	0	0	0	1.899999976	1.100000024	0	3.799999952	0	2.200000048	0.899999976	0	0	0	3.900000095	2.799999952	0	0	0.899999976	0	28.29999924	0	1.799999952	0	5.199999809	0	0	3.900000095	0	0.100000001	0	0	0	0	2.799999952	0	0	0.899999976	0.899999976	0	1.899999976	0	0	0	0	0.899999976	0	0.5	0	0	0	0
75	0	0	0	1.899999976	0	0	0.5	0	0	1.100000024	4.5	1.5	0	0	0	3.599999905	0.800000012	4.300000191	0	0	0	0	0	0	0	0	0	0	0	1.100000024	0	0	10.39999962	0	0	0	0.600000024	2.599999905	0	5.400000095	0	5.900000095	0	1.200000048	0	0	0	0	0	0	1.100000024	0	0	0	7.599999905	0	2.700000048	3.799999952	0	1.899999976	0	0	0	0	0	0	0.899999976	0	0	0.5	3.599999905	0.5	0.5	0	0.5	0	0.5	0	0	7.5	0	0	0	0
77	0	0	0	0.699999988	1.899999976	0	1.5	0	0	8.399999619	2.799999952	0	0	0	0	5.5	0.800000012	0	1.700000048	0.699999988	0	2.200000048	0	0	0	0	0	0	0	0.699999988	0	0	5.099999905	0	0	0	3.200000048	0.800000012	0	4.5	0.600000024	0.100000001	0	13.39999962	0	0	0	0.600000024	0	0	3.299999952	1.200000048	6.199999809	0	0	0	1.200000048	5.599999905	0	5.900000095	2.799999952	1.299999952	0	0	1.600000024	0	1.299999952	0	0.600000024	0	1.899999976	0	0	0	0	0	0.600000024	0	0	9.600000381	0	0	0.600000024	0
91	0	0	0.699999988	0.899999976	0	2.200000048	1.5	0	0	0.699999988	0.800000012	0	0	0	0	2.400000095	0	10.60000038	1.299999952	5.5	9.199999809	0	0	0	0	0.699999988	0	0	2.200000048	0	0	1.5	8.800000191	0	0	0	3.700000048	5.5	0	7.400000095	0	3.700000048	0	0	0	0	0.699999988	0	0	0	0	5.300000191	0	0	0	5.099999905	0	0.200000003	1.799999952	0	0	0	0.899999976	0	0.800000012	0	0	0	0.699999988	0	1.600000024	0	0	0.699999988	0	0.100000001	0	0	0	7.5	0	0	0	0
93	0	0	0	0	0	0.400000006	0.400000006	0	0	4.400000095	0	0.300000012	0	0	0	15.69999981	0	0	2.599999905	1.600000024	0.5	0	0	0	0	0	0	0.800000012	0.699999988	0	2.299999952	0	5.199999809	4.699999809	0	0.800000012	7.900000095	18.60000038	0	0.5	0	0.400000006	0	0	0	0	0.400000006	0	0	0.400000006	1.899999976	3.200000048	0	0	0	0	0.400000006	0	0	0.899999976	0	0	2.799999952	0.899999976	4.099999905	0	1.799999952	0	0.600000024	0	1.200000048	0.400000006	0	0	0	0.400000006	0	0	0	2.400000095	0	0	0	0
96	0	0	0	0	0.600000024	0	0	0	2.599999905	2.5	0	0	0.300000012	0	0.300000012	0	0	6.599999905	0	0	0	0	6.699999809	0	0	0	0	1.600000024	0	0	3.400000095	0	1.200000048	9.5	0	4.800000191	1.100000024	11.69999981	0	0	0.200000003	0.300000012	0	0	0	0	0	4.800000191	3.5	2.099999905	0	10.19999981	0	0	0	0	0	0	0	0	0	0	1.799999952	0	0	7.099999905	0	1.700000048	0	0	1.399999976	0	0	0	0	0.400000006	0	0	0.300000012	0	7.300000191	1.200000048	0	0.300000012
98	0	0	0	0	4.300000191	0	0	0	0	0	0	0	0.300000012	0	23.89999962	0	0	2.900000095	0.200000003	0	0	0	14.39999962	0	0	0	0	1.799999952	0.300000012	0	2.700000048	0	0.200000003	5.599999905	0	0.400000006	1.299999952	6.300000191	0.699999988	0	0	0	0	0.400000006	0	0	0	3.5	0	0.899999976	0	1.600000024	0	0	0	0.200000003	0	0	0	0	0.300000012	0	0.699999988	0.300000012	0.5	7.699999809	0	1.799999952	0	0	0	0	0	0	0	0	0	0	0	0	15.69999981	0	0	0.699999988
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.599999905	0	0	0	0	0	2.5	0	21.79999924	0	0	0	0	0	0	5.400000095	0	0	0	2.299999952	0	0	2.200000048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.099999905	0	1.799999952	0	1.799999952	16.20000076	0	0	0	0	0	0	0	0	0	27.60000038	0	0	0	0	0	0	0	0	8.600000381	0	0	0	0	0
104	2.200000048	22.29999924	1.100000024	0	5.5	2.5	0	0	0	0	0	0	0	1.100000024	1.299999952	0	0	1.200000048	0	5.800000191	0	0	1.100000024	0	0	0	5.599999905	0	0	0	0	0.800000012	2.200000048	0	2.900000095	0	1.100000024	0	0	3.799999952	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	2.200000048	0	2.5	0	0	1.100000024	0	0	0	0	0	0	1.100000024	0	0	1.100000024	2.200000048	0	2.200000048	0	0	1.100000024	0	0	0	3.700000048	0	0	0	0
106	0	0	3.400000095	0	9.199999809	0.699999988	0.699999988	0	0	2.200000048	11.30000019	0	0	0	0	9.600000381	0	2.700000048	0	0	0	0	0	0	0	0.800000012	0.800000012	0	0.699999988	0	0	0	11.5	0	0	0	1.5	0	0	5.099999905	0	0.699999988	0	0	0	0	0.699999988	0.899999976	0	0	2.099999905	0	0	0	0	0	0	0	1.299999952	15.60000038	0	2.400000095	0	0	0	0	0	0	0	1.600000024	0	0	1.299999952	0	0	0	1.299999952	0.699999988	0	0.899999976	0	0	0	0
