"FT"	"GY"	"LJ"	"PL"	"WJ"	"YLN"	"YYH"
"Prunus.spinulosa.v..globosa"	0	16	0	0	0	0	0
"Prunus.transarisanensis"	0	0	0	0	0	0	0
"Psychotria.rubra"	7	0	0	0	1	1	0
"Quercus.spinosa"	0	2	0	0	0	0	0
"Randia.cochinchinensis"	0	0	0	0	0	0	0
"Reevesia.formosana"	0	0	0	0	0	0	0
"Rhamnus.pilushanensis"	0	1	0	0	0	0	0
"Rhaphiolepis.indica.v..tashiroi"	0	0	0	0	3	0	0
"Rhododendron.formosanum"	0	0	0	0	0	0	8
"Rhododendron.leptosanthum"	0	0	5	5	2	0	1
"Rhododendron.mariesii"	0	0	0	0	0	0	0
"Ribes.formosanum"	0	1	0	0	0	0	0
"Sapindus.mukorossi"	0	0	0	0	0	0	0
"Sapium.discolor"	0	0	0	0	0	0	0
"Sassafras.randaiense"	0	0	0	0	0	0	0
"Saurauia.tristyla.v..oldhamii"	1	0	0	0	0	9	0
"Schefflera.octophylla"	2	0	0	0	6	20	0
"Schefflera.taiwaniana"	0	0	0	0	0	0	14
"Schima.superba"	0	0	8	5	17	2	0
"Skimmia.reevesiana"	0	0	0	0	0	0	0
"Sloanea.formosana"	0	0	2	0	0	7	0
"Styrax.formosana"	0	0	1	0	0	0	0
"Styrax.suberifolia"	0	0	0	0	0	0	0
"Sycopsis.sinensis"	0	0	0	1	0	0	0
"Symplocos.arisanensis"	0	0	0	0	0	0	9
"Symplocos.congesta"	0	0	0	0	0	0	0
"Symplocos.congesta.v..theifolia"	0	0	0	0	14	0	0
"Symplocos.formosana"	0	0	10	9	7	6	0
"Symplocos.heishanensis"	0	0	0	6	1	0	0
"Symplocos.migoi"	0	0	0	9	0	1	0
"Symplocos.modesta"	0	0	8	0	0	10	0
"Symplocos.morrisonicola"	0	0	0	0	14	0	23
"Symplocos.setchuensis"	0	0	0	0	23	0	0
"Symplocos.sonoharae"	0	0	0	0	1	0	0
"Symplocos.stellaris"	0	0	0	8	0	0	0
"Symplocos.theophrastifolia"	0	0	0	0	0	0	0
"Symplocos.wikstroemiifolia"	0	0	0	0	0	0	1
"Syzygium.buxifolium"	0	0	0	0	0	0	0
"Tarenna.gracilipes"	0	0	0	0	0	2	0
"Ternstroemia.gymnanthera"	0	0	0	0	11	1	14
"Tricalysia.dubia"	0	0	0	0	21	0	0
"Trochodendron.aralioides"	0	0	0	21	1	0	9
"Tsuga.chinensis.v..formosana"	0	0	0	12	0	0	7
"Turpinia.formosana"	0	0	0	0	0	1	0
"Turpinia.ternata"	0	0	2	0	0	0	0
"Ulmus.uyematsui"	0	0	0	0	0	0	0
"Vaccinium.bracteatum"	0	0	1	0	0	0	0
"Vaccinium.japonicum.v..lasiostemon"	0	0	0	0	0	0	1
"Vaccinium.kengii"	0	0	0	0	1	0	0
"Vaccinium.randaiense"	0	0	0	0	0	0	0
"Viburnum.arboricolum"	0	0	0	0	0	0	0
"Viburnum.foetidum.v..rectangulatum"	0	0	0	0	0	0	1
"Viburnum.formosanum"	0	0	5	0	0	0	0
"Viburnum.integrifolium"	0	0	0	0	12	0	0
"Viburnum.sympodiale"	0	0	0	0	0	0	12
"Viburnum.taitoense"	0	0	0	0	0	0	0
"Viburnum.urceolatum"	0	0	0	0	0	0	1
